refcode	metal	total_charge	spin_multiplicity	elem_nr	m_ox	d_elec	CN	geometry	rel_m
XAGLAU	Mn	1	6	25	2	5	7	Capped trigonal prismatic	1.188
GARQIB	Mn	0	6	25	2	5	7	Capped trigonal prismatic	1.166
MUCBIV	Mn	2	6	25	2	5	7	Capped trigonal prismatic	1.164
UDUGUY	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.15
XIDNON	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.163
PIHWEI	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.172
DUQQAJ	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.15
BUCRAS	Mn	1	6	25	2	5	7	Pentagonal bipyramidal	1.136
OJUHAF	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.167
ATOMOM	Mn	2	6	25	2	5	7	Pentagonal bipyramidal	1.153
WABMOB	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.143
OKEMUO	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.133
TIRDUU	Mn	2	6	25	2	5	7	Pentagonal bipyramidal	1.159
UHEPED	Mn	2	6	25	2	5	7	Pentagonal bipyramidal	1.15
XIMHAD	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.165
CEDXIT	Mn	2	6	25	2	5	7	Pentagonal bipyramidal	1.142
OJEBUB	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.145
SAFTEZ	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.163
SEPPUZ	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.167
UGEKAT	Mn	1	6	25	2	5	7	Pentagonal bipyramidal	1.153
DITQEE	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.153
XAHLOI	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.16
RIHLAY	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.156
UNONOB	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.174
TOPJEO	Mn	2	6	25	2	5	7	Pentagonal bipyramidal	1.146
QETLAF	Mn	1	6	25	2	5	7	Pentagonal bipyramidal	1.155
TEVLAK	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.166
TUSBOZ	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.171
NUNTAR	Mn	0	6	25	2	5	7	Pentagonal bipyramidal	1.142
JOXJAH	Mn	2	6	25	2	5	8	Cube	1.24
HUDGOC	Mn	2	6	25	2	5	8	Dodecahedral	1.286
NEPMEC	Mn	-2	6	25	2	5	8	Dodecahedral	1.209
SAFVAX	Mn	0	6	25	2	5	8	Dodecahedral	1.201
ROPBIH	Mn	0	6	25	2	5	8	Dodecahedral	1.211
NIJZEM	Mn	0	6	25	2	5	8	Dodecahedral	1.206
BIKDAA	Mn	0	6	25	2	5	8	Dodecahedral	1.215
OLENAU	Mn	0	6	25	2	5	8	Dodecahedral	1.31
KAXMEB	Mn	0	5	25	3	4	3	Trigonal planar	0.848
ZOWPAF	Mn	0	5	25	3	4	4	Square planar	0.95
DOVKUV	Mn	0	5	25	3	4	5	Square pyramidal	0.905
ZERDIJ	Mn	0	5	25	3	4	5	Square pyramidal	0.894
UBOFOG	Mn	0	5	25	3	4	5	Square pyramidal	0.94
LILLEZ	Mn	0	5	25	3	4	5	Square pyramidal	0.927
ROMSUI	Mn	0	5	25	3	4	5	Square pyramidal	0.934
BEPRET	Mn	0	5	25	3	4	5	Square pyramidal	0.906
BUXYIE	Mn	0	5	25	3	4	5	Square pyramidal	0.942
YAGBIR	Mn	0	5	25	3	4	5	Square pyramidal	0.924
UZEVUR	Mn	1	5	25	3	4	5	Square pyramidal	0.985
KAWCIU	Mn	0	5	25	3	4	5	Square pyramidal	0.913
AWOLOO	Mn	0	5	25	3	4	5	Square pyramidal	0.924
PENHOI	Mn	-1	5	25	3	4	5	Square pyramidal	0.927
WOPGIS	Mn	-1	5	25	3	4	5	Square pyramidal	0.95
FOCSOF	Mn	0	5	25	3	4	5	Trigonal bipyramidal	0.959
VULMOE	Mn	0	5	25	3	4	5	Trigonal bipyramidal	1.015
NEDGIM	Mn	0	5	25	3	4	5	Trigonal bipyramidal	0.927
WACDAF	Mn	0	5	25	3	4	5	Trigonal bipyramidal	0.935
VAWNIQ	Mn	0	5	25	3	4	5	Trigonal bipyramidal	0.942
NIWTOC	Mn	-1	5	25	3	4	5	Trigonal bipyramidal	0.944
MOZRIC	Mn	0	5	25	3	4	5	Trigonal bipyramidal	0.924
COJGUG	Mn	0	5	25	3	4	5	Trigonal bipyramidal	0.937
COJHAN	Mn	-1	5	25	3	4	5	Trigonal bipyramidal	0.924
HIMLIZ	Mn	0	5	25	3	4	6	Octahedral	0.987
WUYFIH	Mn	-3	3	25	3	4	6	Octahedral	0.911
PAXVAM	Mn	0	5	25	3	4	6	Octahedral	0.98
TUDJEH	Mn	0	5	25	3	4	6	Octahedral	0.99
VUMSUT	Mn	0	5	25	3	4	6	Octahedral	0.986
PUHWUL	Mn	1	5	25	3	4	6	Octahedral	1.006
AXISIJ	Mn	0	5	25	3	4	6	Octahedral	0.99
FIZQIP	Mn	1	5	25	3	4	6	Octahedral	0.992
EJEVEV	Mn	1	5	25	3	4	6	Octahedral	1.017
RULVEA	Mn	0	5	25	3	4	6	Octahedral	0.988
BEPTIA	Mn	0	5	25	3	4	6	Octahedral	0.987
PUJBAX	Mn	-2	5	25	3	4	6	Octahedral	0.982
JAFVOB	Mn	-1	5	25	3	4	6	Octahedral	0.981
ALIYOJ	Mn	0	5	25	3	4	6	Octahedral	0.988
WIVDUB	Mn	0	5	25	3	4	6	Octahedral	0.981
CAXVAZ	Mn	1	5	25	3	4	6	Octahedral	0.986
TAKDEQ	Mn	-1	5	25	3	4	6	Octahedral	0.983
SUPKIY	Mn	1	5	25	3	4	6	Octahedral	0.988
ITEREF	Mn	0	5	25	3	4	6	Octahedral	0.996
HOCREX	Mn	1	5	25	3	4	6	Octahedral	0.998
XELNAD	Mn	1	5	25	3	4	6	Octahedral	1.017
CEXJEW	Mn	1	5	25	3	4	6	Octahedral	1.024
SAPJUO	Mn	1	5	25	3	4	6	Octahedral	0.996
TEHGAQ	Mn	1	5	25	3	4	6	Octahedral	0.977
VAGCAH	Mn	1	5	25	3	4	6	Octahedral	0.996
REXCUS	Mn	0	5	25	3	4	6	Octahedral	0.968
JEDJAE	Mn	-5	5	25	3	4	6	Octahedral	0.996
VOBCEV	Mn	-3	5	25	3	4	6	Octahedral	0.971
MNMTBH	Mn	0	5	25	3	4	6	Octahedral	0.979
MOTCMN	Mn	0	5	25	3	4	6	Octahedral	1.015
NUNWUP	Fe	0	3	26	0	6	4	Tetrahedral	0.798
FONPUT	Fe	0	1	26	0	6	5	Square pyramidal	0.822
MALGAI	Fe	0	1	26	0	6	5	Square pyramidal	0.814
CAFTIM	Fe	0	1	26	0	6	5	Trigonal bipyramidal	0.824
SIXDUB	Fe	0	1	26	0	6	5	Trigonal bipyramidal	0.805
JASRIF	Fe	0	1	26	0	6	5	Trigonal bipyramidal	0.82
GAMQEQ	Fe	0	1	26	0	6	5	Trigonal bipyramidal	0.811
LASXIM	Fe	0	1	26	0	6	5	Trigonal bipyramidal	0.814
ZURDEV	Fe	0	1	26	0	6	5	Trigonal bipyramidal	0.814
FASSEX	Fe	0	1	26	0	6	5	Trigonal bipyramidal	0.797
ISIYAK	Fe	0	1	26	0	6	5	Trigonal bipyramidal	0.817
POPFEC10	Fe	0	1	26	0	6	5	Trigonal bipyramidal	0.805
QIVYEZ	Fe	0	5	26	2	6	2	Linear	0.996
FEGVOE	Fe	0	5	26	2	6	2	Linear	0.866
DABSOP	Fe	0	5	26	2	6	3	T-shaped	0.948
KUGWIT	Fe	0	5	26	2	6	3	T-shaped	0.942
ULOVUO	Fe	0	5	26	2	6	3	Trigonal planar	0.939
INEDEM	Fe	0	5	26	2	6	3	Trigonal planar	0.911
QUDDOJ	Fe	-1	5	26	2	6	3	Trigonal planar	0.988
NIDMOE	Fe	0	5	26	2	6	3	Trigonal planar	0.989
ULOXUQ	Fe	0	5	26	2	6	3	Trigonal planar	0.962
EYITAJ	Fe	0	5	26	2	6	3	Trigonal planar	0.966
FIYFEB	Fe	-1	5	26	2	6	3	Trigonal planar	0.99
BIJJAG	Fe	0	5	26	2	6	3	Trigonal planar	0.959
RIRFEF	Fe	0	5	26	2	6	3	Trigonal planar	0.971
VEVWEY	Fe	-1	5	26	2	6	3	Trigonal planar	0.954
HURSIX	Fe	-1	5	26	2	6	3	Trigonal planar	0.927
LIHRUR	Fe	-1	5	26	2	6	3	Trigonal planar	0.923
NASJAT	Fe	0	5	26	2	6	3	Trigonal planar	0.945
BOXSEO	Fe	-1	5	26	2	6	3	Trigonal planar	0.943
QUSHET	Fe	-1	5	26	2	6	3	Trigonal planar	0.986
ONUQAR	Fe	0	5	26	2	6	3	Trigonal planar	0.931
GAXZEN	Fe	0	5	26	2	6	3	Trigonal planar	0.989
VEYTAW	Fe	-1	5	26	2	6	3	Trigonal planar	0.914
SAYZAV	Fe	0	5	26	2	6	4	Seesaw	1.029
GUCBAJ	Fe	0	5	26	2	6	4	Seesaw	1.012
SABDAB	Fe	0	5	26	2	6	4	Seesaw	1.029
FEVFET	Fe	0	5	26	2	6	4	Seesaw	1.054
ODUXIX	Fe	0	5	26	2	6	4	Seesaw	1.018
LUNGOS	Fe	0	5	26	2	6	4	Seesaw	0.986
LUYXUZ	Fe	0	5	26	2	6	4	Seesaw	1.012
JEXKIH	Fe	0	5	26	2	6	4	Seesaw	1.009
DALPEO	Fe	0	5	26	2	6	4	Seesaw	1.002
ILOLOM	Fe	0	5	26	2	6	4	Seesaw	1.023
TICMAW	Fe	0	5	26	2	6	4	Seesaw	1.035
IXAROP	Fe	0	5	26	2	6	4	Seesaw	1.017
AHUGOA	Fe	0	5	26	2	6	4	Seesaw	0.988
MASNUR	Fe	0	5	26	2	6	4	Seesaw	1.001
JIXLEH	Fe	0	5	26	2	6	4	Seesaw	1.021
GAMZEA	Fe	0	3	26	2	6	4	Square planar	0.944
GAMZAW	Fe	0	3	26	2	6	4	Square planar	0.938
QAVFID	Fe	0	5	26	2	6	4	Square planar	1.081
QOPWOK	Fe	0	3	26	2	6	4	Square planar	0.927
GEPPEX	Fe	0	3	26	2	6	4	Square planar	0.869
FOSKEF	Fe	1	5	26	2	6	4	Square planar	1.011
RALNUO	Fe	0	3	26	2	6	4	Square planar	0.883
SUSGEV	Fe	0	3	26	2	6	4	Square planar	0.893
XIYPAY	Fe	-2	5	26	2	6	4	Square planar	1.0
UTASAM	Fe	-2	5	26	2	6	4	Square planar	1.006
MAJYOM	Fe	-2	3	26	2	6	4	Square planar	0.89
XIMSAO	Fe	-2	5	26	2	6	4	Tetrahedral	0.948
OYILIT	Fe	-1	5	26	2	6	4	Tetrahedral	0.962
ULOVEY	Fe	0	5	26	2	6	4	Tetrahedral	1.012
QOXKUL	Fe	0	5	26	2	6	4	Tetrahedral	0.963
YOJVOJ	Fe	0	5	26	2	6	4	Tetrahedral	0.965
DECKED	Fe	0	5	26	2	6	4	Tetrahedral	0.967
DECLAA	Fe	0	5	26	2	6	4	Tetrahedral	0.973
UBOMEG	Fe	0	5	26	2	6	4	Tetrahedral	0.95
NENWEK	Fe	0	5	26	2	6	4	Tetrahedral	0.97
AJALIH	Fe	0	5	26	2	6	4	Tetrahedral	0.965
MEJZAF	Fe	0	5	26	2	6	4	Tetrahedral	0.96
YOWZOB	Fe	0	5	26	2	6	4	Tetrahedral	1.036
RUMZOP	Fe	0	5	26	2	6	4	Tetrahedral	1.066
OYUKOK	Fe	0	5	26	2	6	4	Tetrahedral	1.008
OTOTEX	Fe	0	5	26	2	6	4	Tetrahedral	0.985
WUSFEX	Fe	0	5	26	2	6	4	Tetrahedral	0.985
HONGAV	Fe	0	5	26	2	6	4	Tetrahedral	0.977
OZIREV	Fe	0	5	26	2	6	4	Tetrahedral	1.077
UNEHIG	Fe	1	5	26	2	6	4	Tetrahedral	1.042
QAYBAT	Fe	0	5	26	2	6	4	Tetrahedral	1.017
DUSSOB	Fe	0	5	26	2	6	4	Tetrahedral	1.006
ASUTUD	Fe	0	5	26	2	6	4	Tetrahedral	1.102
RENGAV	Fe	0	5	26	2	6	4	Tetrahedral	1.116
EDIDED	Fe	0	5	26	2	6	4	Tetrahedral	0.998
GAMZIE	Fe	0	5	26	2	6	4	Tetrahedral	1.042
UPIMAI	Fe	0	5	26	2	6	4	Tetrahedral	0.992
GAMZOK	Fe	0	5	26	2	6	4	Tetrahedral	1.019
HIPLIC	Fe	0	5	26	2	6	4	Tetrahedral	1.073
QOSGEL	Fe	1	5	26	2	6	4	Tetrahedral	1.05
RIPHEG	Fe	0	5	26	2	6	4	Tetrahedral	1.04
KUGXOA	Fe	0	5	26	2	6	4	Tetrahedral	0.981
MASPED	Fe	0	5	26	2	6	4	Tetrahedral	1.039
SOQLUF	Fe	0	5	26	2	6	4	Tetrahedral	1.036
RUWKEA	Fe	0	5	26	2	6	4	Tetrahedral	1.058
OGEVUS	Fe	0	5	26	2	6	4	Tetrahedral	1.019
RIRFIJ	Fe	-1	5	26	2	6	4	Tetrahedral	0.992
KISMIJ	Fe	-2	5	26	2	6	4	Tetrahedral	0.979
WEHWAI	Fe	-1	5	26	2	6	4	Tetrahedral	0.985
OYIKOY	Fe	-1	5	26	2	6	4	Tetrahedral	0.981
OYIKUE	Fe	-1	5	26	2	6	4	Tetrahedral	0.98
VIBRIK	Fe	0	5	26	2	6	4	Tetrahedral	1.011
PUXRAC	Fe	0	5	26	2	6	4	Tetrahedral	0.992
CORSIO	Fe	0	5	26	2	6	4	Tetrahedral	0.983
CORSUA	Fe	0	5	26	2	6	4	Tetrahedral	0.994
DECKAZ	Fe	0	5	26	2	6	4	Tetrahedral	0.983
DECKUT	Fe	0	5	26	2	6	4	Tetrahedral	0.991
DECLEE	Fe	0	5	26	2	6	4	Tetrahedral	0.986
IROJEF	Fe	0	5	26	2	6	4	Tetrahedral	0.968
AJALED	Fe	0	5	26	2	6	4	Tetrahedral	0.984
DAJBAS	Fe	0	5	26	2	6	4	Tetrahedral	0.973
TACSAU	Fe	0	5	26	2	6	4	Tetrahedral	0.975
HIPLAU	Fe	0	5	26	2	6	4	Tetrahedral	1.037
VISVEA	Fe	0	5	26	2	6	4	Tetrahedral	1.014
GEFTIV	Fe	0	5	26	2	6	4	Tetrahedral	0.991
RANJIA	Fe	1	5	26	2	6	4	Tetrahedral	1.022
NASJEX	Fe	0	5	26	2	6	4	Tetrahedral	1.006
AQUGEY	Fe	0	5	26	2	6	4	Tetrahedral	1.037
NUZSUX	Fe	0	5	26	2	6	4	Tetrahedral	1.052
MEJYOS	Fe	-2	5	26	2	6	4	Tetrahedral	0.946
JUQDAA	Fe	-1	5	26	2	6	4	Tetrahedral	0.964
ISIBIW	Fe	0	5	26	2	6	4	Tetrahedral	0.973
HOYHOS	Fe	0	5	26	2	6	4	Tetrahedral	0.985
VUMFOA01	Fe	0	5	26	2	6	4	Tetrahedral	0.972
JUWGUD	Fe	0	5	26	2	6	4	Tetrahedral	0.967
KELXUU	Fe	0	5	26	2	6	4	Tetrahedral	0.97
INUVUJ	Fe	0	5	26	2	6	4	Tetrahedral	1.023
APUDUM	Fe	0	5	26	2	6	4	Tetrahedral	0.989
TEQPUA	Fe	-1	5	26	2	6	4	Tetrahedral	1.008
INUXEV	Fe	0	5	26	2	6	4	Tetrahedral	1.016
YUBDAB	Fe	0	5	26	2	6	4	Tetrahedral	0.989
UGINOP	Fe	0	5	26	2	6	4	Tetrahedral	1.047
KUGXUG	Fe	0	5	26	2	6	4	Tetrahedral	0.995
MOFMAV	Fe	0	5	26	2	6	4	Tetrahedral	0.981
XOBBIZ	Fe	0	5	26	2	6	4	Tetrahedral	1.011
KIQMAB	Fe	0	5	26	2	6	4	Tetrahedral	1.022
KUGXIU	Fe	0	5	26	2	6	4	Tetrahedral	0.998
SAKWOS	Fe	0	5	26	2	6	4	Tetrahedral	1.062
MASPAZ	Fe	0	5	26	2	6	4	Tetrahedral	1.005
QUSJAQ	Fe	0	5	26	2	6	4	Tetrahedral	0.974
IXASAC	Fe	0	5	26	2	6	4	Tetrahedral	1.021
EGAMUX	Fe	0	1	26	2	6	4	Tetrahedral	0.802
FIMPIB	Fe	-1	1	26	2	6	4	Tetrahedral	0.787
ZAZNOD	Fe	-1	5	26	2	6	4	Tetrahedral	0.986
RIVWEA	Fe	0	5	26	2	6	4	Tetrahedral	1.016
HECVER	Fe	0	5	26	2	6	4	Tetrahedral	1.034
YECRII	Fe	0	5	26	2	6	4	Tetrahedral	1.017
ITEXIO	Fe	-1	5	26	2	6	4	Tetrahedral	0.989
LUGPAE	Fe	0	5	26	2	6	4	Tetrahedral	1.008
YEWSOI	Fe	0	5	26	2	6	4	Tetrahedral	0.977
YEWSUO	Fe	0	5	26	2	6	4	Tetrahedral	0.975
GOFXIK	Fe	-2	5	26	2	6	4	Tetrahedral	0.967
MUQPOF	Fe	-2	5	26	2	6	4	Tetrahedral	0.983
RIRFAB	Fe	-2	5	26	2	6	4	Tetrahedral	0.95
VEYWOO	Fe	0	5	26	2	6	5	Square pyramidal	1.057
ZUMSEH	Fe	0	5	26	2	6	5	Square pyramidal	1.048
MINWIR	Fe	0	5	26	2	6	5	Square pyramidal	1.054
CUCWEE	Fe	0	5	26	2	6	5	Square pyramidal	1.052
ZELDAX	Fe	0	5	26	2	6	5	Square pyramidal	1.05
ULITUH	Fe	0	5	26	2	6	5	Square pyramidal	1.114
LUTFAJ	Fe	0	1	26	2	6	5	Square pyramidal	0.852
CEMWIC	Fe	0	5	26	2	6	5	Square pyramidal	1.106
FOQBOC	Fe	-1	5	26	2	6	5	Square pyramidal	1.021
KAXYUE	Fe	0	1	26	2	6	5	Square pyramidal	0.885
MARJIZ	Fe	1	5	26	2	6	5	Square pyramidal	1.112
TEBKOC	Fe	-1	5	26	2	6	5	Square pyramidal	1.03
WEMWAO	Fe	0	1	26	2	6	5	Square pyramidal	0.851
QITBEA	Fe	0	5	26	2	6	5	Square pyramidal	1.098
OCUJOL	Fe	0	5	26	2	6	5	Square pyramidal	1.074
QIZCAF	Fe	0	5	26	2	6	5	Square pyramidal	1.064
QIXDIM	Fe	0	5	26	2	6	5	Square pyramidal	1.074
KIKNUQ	Fe	0	5	26	2	6	5	Square pyramidal	1.063
XOMCOS	Fe	0	5	26	2	6	5	Square pyramidal	1.055
TAPZUI	Fe	1	5	26	2	6	5	Square pyramidal	1.122
TEBKIW	Fe	-1	5	26	2	6	5	Square pyramidal	1.03
YORSEE	Fe	1	5	26	2	6	5	Square pyramidal	1.048
VEKNAA	Fe	-1	5	26	2	6	5	Square pyramidal	1.078
RAVYIX	Fe	1	5	26	2	6	5	Square pyramidal	1.104
SIXRAV	Fe	0	5	26	2	6	5	Square pyramidal	1.07
TICJEX	Fe	2	5	26	2	6	5	Square pyramidal	1.105
EJOJOC	Fe	0	5	26	2	6	5	Square pyramidal	1.08
DESSAW	Fe	1	5	26	2	6	5	Square pyramidal	1.069
ZUJRAZ	Fe	0	5	26	2	6	5	Square pyramidal	1.03
NENNEA	Fe	1	3	26	2	6	5	Square pyramidal	1.014
IXARAB	Fe	0	5	26	2	6	5	Square pyramidal	1.067
TEBRUP	Fe	0	5	26	2	6	5	Square pyramidal	1.027
TEBLAP	Fe	-1	5	26	2	6	5	Square pyramidal	1.029
IXAQII	Fe	0	5	26	2	6	5	Square pyramidal	1.072
EDISOA	Fe	0	5	26	2	6	5	Square pyramidal	1.095
PYESAF10	Fe	0	5	26	2	6	5	Square pyramidal	1.03
UPIFUV	Fe	0	5	26	2	6	5	Square pyramidal	1.058
BAYHUF	Fe	0	5	26	2	6	5	Square pyramidal	1.108
DEXFOB	Fe	0	5	26	2	6	5	Square pyramidal	1.07
DUFLEW	Fe	0	5	26	2	6	5	Square pyramidal	1.038
ZILZUP	Fe	0	5	26	2	6	5	Square pyramidal	1.091
NEJBIN	Fe	-1	5	26	2	6	5	Square pyramidal	1.106
PAYHIG	Fe	0	5	26	2	6	5	Square pyramidal	1.067
JASBOV	Fe	0	5	26	2	6	5	Square pyramidal	1.049
PEPPEI	Fe	0	3	26	2	6	5	Square pyramidal	0.902
QOBRIK	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.108
CUQSEN	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.107
IMACEG	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.064
JOGYAH	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.024
YUMGOF	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.077
NAZRUC	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.093
ZUYNEM	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.113
ROFKOO	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.122
TEQQAH	Fe	-1	3	26	2	6	5	Trigonal bipyramidal	0.934
NEYJUY	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.093
MONTIU	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.073
QIXCOR	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.077
PIYYON	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.07
WAFWEJ	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.065
WUMPOL	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.08
UJUPOF	Fe	1	5	26	2	6	5	Trigonal bipyramidal	1.093
SELSEI	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.061
NAZROW	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.101
WAJGUL	Fe	-1	5	26	2	6	5	Trigonal bipyramidal	1.062
PEVHAC	Fe	1	3	26	2	6	5	Trigonal bipyramidal	0.899
VAKYOX	Fe	2	5	26	2	6	5	Trigonal bipyramidal	1.075
RITYOK	Fe	2	5	26	2	6	5	Trigonal bipyramidal	1.081
SIXMOC	Fe	1	5	26	2	6	5	Trigonal bipyramidal	1.08
LAYVOX	Fe	1	5	26	2	6	5	Trigonal bipyramidal	1.09
CAJFAV	Fe	1	5	26	2	6	5	Trigonal bipyramidal	1.067
VOVDIT	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.058
ECEWAL	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.095
VABFIQ	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.067
HEYPEG	Fe	0	5	26	2	6	5	Trigonal bipyramidal	1.049
BANLOR	Fe	0	1	26	2	6	6	Octahedral	0.803
MENWUY	Fe	0	5	26	2	6	6	Octahedral	1.122
EGUVOR	Fe	0	5	26	2	6	6	Octahedral	1.114
ZIZHOI	Fe	0	1	26	2	6	6	Octahedral	0.91
IDUBEO	Fe	-1	1	26	2	6	6	Octahedral	0.889
GUTYAY	Fe	0	1	26	2	6	6	Octahedral	0.924
UDUMEL	Fe	1	5	26	2	6	6	Octahedral	1.119
FEWRIK	Fe	1	5	26	2	6	6	Octahedral	1.117
GEFZEX	Fe	1	1	26	2	6	6	Octahedral	0.917
CEHHON	Fe	2	1	26	2	6	6	Octahedral	0.891
BAMBAV	Fe	-4	1	26	2	6	6	Octahedral	0.891
XESMUG	Fe	-2	1	26	2	6	6	Octahedral	0.883
CADYEM	Fe	-1	1	26	2	6	6	Octahedral	0.865
XIHVIT	Fe	-2	1	26	2	6	6	Octahedral	0.883
DUGPIF	Fe	-2	1	26	2	6	6	Octahedral	0.885
ILURIR	Fe	-3	1	26	2	6	6	Octahedral	0.922
QOKSOY	Fe	0	1	26	2	6	6	Octahedral	0.881
AQIZEF	Fe	-2	1	26	2	6	6	Octahedral	0.886
HAXCOA	Fe	-1	1	26	2	6	6	Octahedral	0.886
CUCQIB	Fe	0	1	26	2	6	6	Octahedral	0.871
SAGFUB	Fe	0	1	26	2	6	6	Octahedral	0.886
DEKFAD	Fe	0	1	26	2	6	6	Octahedral	0.883
HIFCAD	Fe	1	1	26	2	6	6	Octahedral	0.902
IDUBOY	Fe	-1	1	26	2	6	6	Octahedral	0.886
AQIYAA	Fe	-2	1	26	2	6	6	Octahedral	0.894
AQIYII	Fe	-1	1	26	2	6	6	Octahedral	0.893
FOQNOP	Fe	0	1	26	2	6	6	Octahedral	0.857
NIVWOF	Fe	0	1	26	2	6	6	Octahedral	0.882
XABHIV	Fe	1	1	26	2	6	6	Octahedral	0.852
NEBKIR	Fe	-1	1	26	2	6	6	Octahedral	0.885
CUCQUN	Fe	0	1	26	2	6	6	Octahedral	0.88
COSGEW	Fe	0	1	26	2	6	6	Octahedral	0.883
DEKFEH	Fe	0	1	26	2	6	6	Octahedral	0.895
GOJZIP	Fe	-1	1	26	2	6	6	Octahedral	0.948
UCIWOS	Fe	0	1	26	2	6	6	Octahedral	0.934
SADRAU	Fe	0	1	26	2	6	6	Octahedral	0.923
VUJMAP	Fe	0	1	26	2	6	6	Octahedral	0.935
MALGIQ	Fe	1	1	26	2	6	6	Octahedral	0.887
UDUQAL	Fe	0	1	26	2	6	6	Octahedral	0.859
ITEXOU	Fe	-1	1	26	2	6	6	Octahedral	0.898
ILASOE	Fe	1	1	26	2	6	6	Octahedral	0.898
QOSZON	Fe	0	1	26	2	6	6	Octahedral	0.811
PUCFID	Fe	0	1	26	2	6	6	Octahedral	0.903
AJIMOV	Fe	0	1	26	2	6	6	Octahedral	0.903
FURPEO	Fe	-2	1	26	2	6	6	Octahedral	0.96
XOPSEB	Fe	1	1	26	2	6	6	Octahedral	0.955
UBEVOP	Fe	0	1	26	2	6	6	Octahedral	0.922
QEZYUP	Fe	0	1	26	2	6	6	Octahedral	0.919
ALEQEO	Fe	0	1	26	2	6	6	Octahedral	0.916
IFODIR	Fe	0	1	26	2	6	6	Octahedral	0.908
LALBUV	Fe	0	1	26	2	6	6	Octahedral	0.915
FERBEK	Fe	0	1	26	2	6	6	Octahedral	0.923
KAGXID	Fe	0	1	26	2	6	6	Octahedral	0.905
XILTIV	Fe	0	1	26	2	6	6	Octahedral	0.9
WAZWEC	Fe	0	1	26	2	6	6	Octahedral	0.898
HEYMIH	Fe	2	1	26	2	6	6	Octahedral	0.894
CECBOB	Fe	0	1	26	2	6	6	Octahedral	0.897
CPTCFE	Fe	0	1	26	2	6	6	Octahedral	0.907
TUTPAB	Fe	0	1	26	2	6	6	Octahedral	0.913
EWABUA	Fe	0	1	26	2	6	6	Octahedral	0.92
IJEZIJ	Fe	1	1	26	2	6	6	Octahedral	0.925
VUJLOC	Fe	0	1	26	2	6	6	Octahedral	0.948
TAGLES10	Fe	0	1	26	2	6	6	Octahedral	0.9
XAXYEC	Fe	0	1	26	2	6	6	Octahedral	0.886
YOZYIW	Fe	0	1	26	2	6	6	Octahedral	0.883
YEQTOE	Fe	0	1	26	2	6	6	Octahedral	0.88
XUPJOI	Fe	0	1	26	2	6	6	Octahedral	0.906
ALILOX	Fe	0	1	26	2	6	6	Octahedral	0.945
YOZZET	Fe	0	1	26	2	6	6	Octahedral	0.93
BAYDEL	Fe	0	1	26	2	6	6	Octahedral	0.952
HUQFAA	Fe	2	1	26	2	6	6	Octahedral	0.949
LINROQ	Fe	1	1	26	2	6	6	Octahedral	0.967
DUDTUS	Fe	2	1	26	2	6	6	Octahedral	0.927
ITARIF	Fe	0	1	26	2	6	6	Octahedral	0.945
HUYDUB	Fe	1	1	26	2	6	6	Octahedral	0.94
GUTXEB	Fe	1	1	26	2	6	6	Octahedral	0.935
HEBMOQ	Fe	0	1	26	2	6	6	Octahedral	0.927
HASJEQ	Fe	0	1	26	2	6	6	Octahedral	0.951
CUXREV	Fe	2	1	26	2	6	6	Octahedral	0.938
NAJKIS	Fe	2	1	26	2	6	6	Octahedral	0.911
