atom_1	atom_1_valence	atom_2	atom_2_valence	R0	B	ref_id	details
Co	4	F	-1	1.55	0.37	e	unchecked
Co	9	O	-2	1.655	0.42	o	?
Co	9	Br	-1	2.18	0.37	b	?
Co	9	I	-1	2.37	0.35	b	?
Co	9	S	-2	2.06	0.37	b	?
Co	9	Se	-2	2.24	0.37	b	?
Co	9	Te	-2	2.46	0.37	b	?
Co	9	N	-3	1.84	0.37	b	?
Co	9	P	-3	2.21	0.37	b	?
Co	9	As	-3	2.28	0.37	b	?
Co	9	H	-1	1.44	0.37	b	?
Ni	2	O	-2	1.675	0.37	e	'better value than ref. a'
Ni	2	O	-2	1.689	0.347	bs	?
Ni	2	O	-2	1.67	0.37	j	'from transition metal complexes'
Ni	2	O	-2	1.654	0.37	a	?
Ni	2	S	-2	1.98	0.37	e	unchecked
Ni	2	S	-2	1.937	0.37	j	'from transition metal complexes'
Ni	2	F	-1	1.596	0.37	a	?
Ni	2	Cl	-1	2.02	0.37	b	?
Ni	2	Br	-1	2.2	0.37	e	unchecked
Ni	2	I	-1	2.4	0.37	e	unchecked
Ni	2	N	-3	1.7	0.37	e	unchecked
Ni	2	N	-3	1.647	0.37	j	'from transition metal complexes'
Ni	3	O	-2	1.75	0.37	e	?
Ni	3	S	-2	2.04	0.37	j	'from transition metal complexes'
Ni	3	F	-1	1.58	0.37	e	unchecked
Ni	3	N	-3	1.731	0.37	j	'from transition metal complexes'
Ni	4	O	-2	1.734	0.335	bs	'Small sample'
Ni	4	F	-1	1.61	0.37	e	unchecked
Ni	9	Br	-1	2.16	0.37	b	?
Ni	9	I	-1	2.34	0.37	b	?
Ni	9	S	-2	2.04	0.37	b	?
Ni	9	Se	-2	2.14	0.37	b	?
Ni	9	Te	-2	2.43	0.37	b	?
Ni	9	N	-3	1.75	0.37	b	?
Ni	9	P	-3	2.17	0.37	b	?
Ni	9	As	-3	2.24	0.37	b	?
Ni	9	H	-1	1.4	0.37	b	?
Cu	1	O	-2	1.61	0.37	e	unchecked
Cu	1	O	-2	1.601	0.335	bs	?
Cu	1	O	-2	1.504	0.37	l	'from transition metal complexes'
Cu	1	S	-2	1.898	0.37	a	?
Cu	1	S	-2	1.811	0.37	l	'from transition metal complexes'
Cu	1	Se	-2	1.9	0.37	l	'from transition metal complexes'
Cu	1	F	-1	1.6	0.37	b	?
Cu	1	Cl	-1	1.858	0.37	l	'from transition metal complexes'
Cu	1	Cl	-1	1.89	0.37	e	unchecked
Cu	1	Br	-1	2.03	0.37	e	unchecked
Cu	1	I	-1	2.108	0.37	a	?
Cu	1	I	-1	2.155	0.37	l	'from transition metal complexes'
Cu	1	N	-3	1.52	0.37	l	'3-coordinate N'
Cu	1	N	-3	1.48	0.37	l	'2-coordinate N'
Cu	1	N	-3	1.63	0.37	l	'4-coordinate N'
Cu	1	P	-3	1.774	0.37	l	'from transition metal complexes'
Cu	1	As	-3	1.856	0.37	l	'from transition metal complexes'
Cu	1	C	-4	1.446	0.37	l	'from transition metal complexes'
Cu	2	O	-2	1.679	0.36	bj	?
Cu	2	O	-2	1.687	0.355	bs	?
Cu	2	O	-2	1.679	0.37	a	?
Cu	2	O	-2	1.649	0.37	j	'from transition metal complexes'
Cu	2	O	-2	1.655	0.37	l	'from transition metal complexes'
Cu	2	S	-2	2.054	0.37	a	?
Cu	2	S	-2	2.06	0.37	j	'from transition metal complexes'
Cu	2	S	-2	2.024	0.37	l	'from transition metal complexes'
Cu	2	S	-2	1.86	0.37	b	?
Cu	2	Se	-2	2.02	0.37	b	?
Cu	2	Se	-2	2.124	0.37	l	?
Cu	2	Te	-2	2.27	0.37	b	?
Cu	2	F	-1	1.594	0.37	a	?
Cu	2	Cl	-1	2	0.37	b	?
Cu	2	Br	-1	1.99	0.37	b	?
Cu	2	Br	-1	2.134	0.37	l	'from transition metal complexes'
Cu	2	I	-1	2.16	0.37	b	?
Cu	2	I	-1	2.36	0.37	l	'from transition metal complexes'
Cu	2	N	-3	1.751	0.37	j	'from transition metal complexes'
Cu	2	N	-3	1.713	0.37	l	'from transition metal complexes'
Cu	2	N	-3	1.61	0.37	b	?
Cu	2	N	-3	1.709	0.37	l	'2-coordinate N'
Cu	2	N	-3	1.704	0.37	l	'3-coordinate N'
Cu	2	N	-3	1.763	0.37	l	'4-coordinate N'
Cu	2	P	-3	1.97	0.37	b	?
Cu	2	P	-3	2.05	0.37	l	'from transition metal complexes'
Cu	2	As	-3	2.08	0.37	b	?
Cu	2	C	-4	1.72	0.37	l	'from transition metal complexes'
Cu	2	H	-1	1.21	0.37	b	?
Cu	3	O	-2	1.735	0.37	t	?
Cu	3	O	-2	1.737	0.375	bs	'B assumed'
Cu	3	O	-2	1.739	0.37	e	unchecked
Cu	3	F	-1	1.58	0.37	e	unchecked
Cu	3	Cl	-1	2.078	0.37	l	'from transition metal complexes'
Cu	3	N	-3	1.768	0.37	l	'from transition metal complexes'
Cu	3	N	-3	1.753	0.37	t	?
Cu	3	C	-4	1.84	0.37	l	'from transition metal complexes'
